calories,carbohydrate,sugar,protein,Cluster,Cluster_Calorias_Promedio,Cluster_Proteinas_Promedio,Cluster_Azucar_Promedio,Cluster_Interpretacion,Cluster_Porcentaje_Total,Cluster_Tipo,Calorias_vs_Promedio_Cluster,Proteinas_vs_Promedio_Cluster,Azucar_vs_Promedio_Cluster
155.8,8.27,9.78,11.55,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,16.28,3.3200000000000003,-4.75
274.63,23.49,1.56,2.57,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-354.36,-31.950000000000003,-3.9200000000000004
25.23,11.51,10.32,9.57,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-114.29,1.3399999999999999,-4.209999999999999
217.14,6.69,10.0,15.17,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,77.61999999999998,6.9399999999999995,-4.529999999999999
316.45,2.65,4.68,79.71,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-312.54,45.18999999999999,-0.8000000000000007
454.27,1.87,2.95,61.07,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-174.72000000000003,26.549999999999997,-2.5300000000000002
1695.82,0.1,0.39,33.17,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,1066.83,-1.3500000000000014,-5.090000000000001
1090.75,4.65,0.69,3.49,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,461.76,-31.03,-4.790000000000001
127.55,27.55,1.51,8.91,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-501.44,-25.610000000000003,-3.9700000000000006
9.26,17.44,8.16,10.81,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-130.26000000000002,2.58,-6.369999999999999
40.53,87.91,104.91,11.93,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-98.99000000000001,3.6999999999999993,90.38
82.73,3.17,7.95,26.04,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-56.790000000000006,17.81,-6.579999999999999
1161.49,1.53,8.88,12.57,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,532.5,-21.950000000000003,3.4000000000000004
56.29,22.35,11.38,34.79,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-83.23000000000002,26.56,-3.1499999999999986
411.16,51.7,27.78,70.3,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-217.82999999999998,35.779999999999994,22.3
574.75,13.12,1.84,13.85,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-54.24000000000001,-20.67,-3.6400000000000006
595.39,62.67,2.64,4.96,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-33.60000000000002,-29.560000000000002,-2.8400000000000003
164.76,33.58,17.87,220.14,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-464.23,185.61999999999998,12.39
215.98,52.66,6.25,32.32,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-413.01,-2.200000000000003,0.7699999999999996
617.11,23.1,32.83,45.89,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-11.879999999999995,11.369999999999997,27.349999999999998
347.06,9.5,5.92,82.58,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-281.93,48.059999999999995,0.4399999999999995
497.17,1.47,1.51,2.97,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-131.82,-31.550000000000004,-3.9700000000000006
575.63,20.71,0.2,6.24,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-53.360000000000014,-28.28,-5.28
796.89,29.1,9.63,2.28,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,167.89999999999998,-32.24,4.15
1321.78,70.07,7.75,19.51,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,692.79,-15.010000000000002,2.2699999999999996
44.55,99.82,2.62,15.57,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-94.97000000000001,7.34,-11.91
264.62,1.5,18.44,32.62,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-364.37,-1.9000000000000057,12.96
44.81,4.62,0.4,5.9,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-94.71000000000001,-2.33,-14.129999999999999
621.54,14.16,10.7,39.69,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-7.4500000000000455,5.169999999999995,5.219999999999999
290.1,4.43,1.05,40.64,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-338.89,6.119999999999997,-4.430000000000001
576.89,4.79,20.92,4.29,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,437.37,-3.9400000000000004,6.390000000000002
262.12,17.46,0.33,87.05,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-366.87,52.529999999999994,-5.15
64.29,16.95,0.77,11.2,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-75.23,2.969999999999999,-13.76
83.39,13.06,1.62,3.44,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-56.13000000000001,-4.790000000000001,-12.91
69.01,39.17,39.54,0.17,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-70.51,-8.06,25.009999999999998
43.91,48.16,4.58,7.92,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-95.61000000000001,-0.3100000000000005,-9.95
1724.25,45.52,0.07,49.37,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,1095.26,14.849999999999994,-5.41
293.36,19.16,9.4,1.32,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,153.84,-6.91,-5.129999999999999
1279.53,19.56,1.08,18.2,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,650.54,-16.320000000000004,-4.4
367.3,89.84,6.96,73.35,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-261.69,38.82999999999999,1.4799999999999995
74.56,47.47,16.36,45.15,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-64.96000000000001,36.92,1.83
131.51,33.32,1.7,87.11,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-497.48,52.589999999999996,-3.7800000000000002
2122.24,25.99,0.52,81.37,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,1493.2499999999998,46.85,-4.960000000000001
47.17,60.93,13.82,10.8,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-92.35000000000001,2.5700000000000003,-0.7099999999999991
191.78,9.17,0.65,66.69,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-437.21000000000004,32.169999999999995,-4.83
6.23,56.43,5.6,2.12,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-133.29000000000002,-6.11,-8.93
384.93,74.38,76.53,2.17,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,245.41,-6.0600000000000005,62.0
616.95,69.45,7.77,3.12,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-12.039999999999964,-31.400000000000002,2.289999999999999
187.87,55.51,9.99,86.09,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-441.12,51.57,4.51
160.05,42.45,1.6,44.38,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-468.94,9.86,-3.8800000000000003
813.08,88.55,0.47,136.89,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,184.09000000000003,102.36999999999998,-5.010000000000001
566.2,1.72,2.54,4.24,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-62.789999999999964,-30.28,-2.9400000000000004
260.33,0.51,1.24,4.53,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-368.66,-29.990000000000002,-4.24
61.78,13.87,10.68,0.72,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-77.74000000000001,-7.510000000000001,-3.8499999999999996
717.72,71.21,14.02,7.1,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,88.73000000000002,-27.42,8.54
1105.15,6.63,3.79,71.51,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,476.1600000000001,36.99,-1.6900000000000004
799.39,23.14,3.33,19.75,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,170.39999999999998,-14.770000000000003,-2.1500000000000004
100.0,95.89,10.2,114.6,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-528.99,80.07999999999998,4.719999999999999
2508.47,18.11,10.6,84.23,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,1879.4799999999998,49.71,5.119999999999999
38.22,13.09,3.8,2.09,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-101.30000000000001,-6.140000000000001,-10.73
288.6,10.5,8.83,102.53,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-340.39,68.00999999999999,3.3499999999999996
320.57,83.79,16.24,2.07,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,181.04999999999998,-6.16,1.709999999999999
767.16,24.76,0.57,31.07,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,138.16999999999996,-3.450000000000003,-4.91
557.66,36.78,3.0,19.55,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-71.33000000000004,-14.970000000000002,-2.4800000000000004
65.52,2.67,0.07,0.51,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-74.00000000000001,-7.720000000000001,-14.459999999999999
791.49,98.51,5.8,91.51,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,162.5,56.99,0.3199999999999994
19.91,35.47,2.17,11.82,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-119.61000000000001,3.59,-12.36
81.56,33.08,2.34,11.2,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-57.96000000000001,2.969999999999999,-12.19
65.69,7.99,9.23,14.52,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-73.83000000000001,6.289999999999999,-5.299999999999999
886.47,78.02,16.39,2.37,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,257.48,-32.150000000000006,10.91
85.17,29.96,0.57,5.24,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-54.35000000000001,-2.99,-13.959999999999999
662.78,47.61,4.08,2.39,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,33.789999999999964,-32.13,-1.4000000000000004
113.03,23.45,0.47,62.08,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-515.96,27.559999999999995,-5.010000000000001
374.27,74.16,5.91,0.38,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,234.74999999999997,-7.8500000000000005,-8.62
193.17,4.49,3.01,46.9,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-435.82000000000005,12.379999999999995,-2.4700000000000006
388.37,13.67,11.13,2.67,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,248.85,-5.5600000000000005,-3.3999999999999986
106.87,0.88,7.28,5.67,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-32.650000000000006,-2.5600000000000005,-7.249999999999999
34.77,10.48,12.33,8.63,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-104.75,0.40000000000000036,-2.1999999999999993
113.84,37.57,1.21,21.31,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-515.15,-13.210000000000004,-4.2700000000000005
826.83,145.32,6.48,3.04,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,197.84000000000003,-31.480000000000004,1.0
356.64,1.24,54.47,0.48,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,217.11999999999998,-7.75,39.94
88.57,14.31,47.32,5.67,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-50.95000000000002,-2.5600000000000005,32.79
2081.69,8.09,4.78,28.48,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,1452.7,-6.040000000000003,-0.7000000000000002
131.8,29.18,5.85,8.42,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-7.719999999999999,0.1899999999999995,-8.68
672.26,88.81,6.31,20.89,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,43.26999999999998,-13.630000000000003,0.8299999999999992
266.41,58.44,4.19,10.96,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-362.58,-23.560000000000002,-1.29
198.98,87.68,0.39,39.12,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-430.01,4.599999999999994,-5.090000000000001
165.2,8.24,0.4,2.5,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-463.79,-32.02,-5.08
1075.91,3.67,15.1,45.62,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,446.9200000000001,11.099999999999994,9.62
413.67,20.8,5.75,54.13,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-215.32,19.61,0.2699999999999996
396.37,16.85,2.48,0.27,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,256.85,-7.960000000000001,-12.049999999999999
766.01,9.43,0.82,66.71,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,137.01999999999998,32.18999999999999,-4.66
196.68,2.28,9.12,2.17,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,57.16,-6.0600000000000005,-5.41
612.64,38.55,10.06,5.65,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-16.350000000000023,-28.870000000000005,4.58
161.32,32.21,7.15,6.09,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,21.799999999999983,-2.1400000000000006,-7.379999999999999
46.99,24.72,2.13,10.8,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-92.53,2.5700000000000003,-12.399999999999999
409.66,31.32,13.83,29.86,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-219.32999999999998,-4.660000000000004,8.35
719.02,49.37,1.22,5.72,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,90.02999999999997,-28.800000000000004,-4.260000000000001
76.77,48.84,22.95,4.88,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-62.750000000000014,-3.3500000000000005,8.42
177.84,10.67,2.21,3.02,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,38.31999999999999,-5.210000000000001,-12.32
26.76,5.17,2.39,4.45,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-112.76,-3.7800000000000002,-12.139999999999999
209.65,49.36,0.96,2.15,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-419.34000000000003,-32.370000000000005,-4.5200000000000005
28.83,31.55,38.36,3.57,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-110.69000000000001,-4.66,23.83
443.2,16.2,10.35,0.01,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,303.67999999999995,-8.22,-4.18
1114.94,31.45,13.02,1.33,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,485.95000000000005,-33.190000000000005,7.539999999999999
384.59,1.93,8.6,0.86,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,245.06999999999996,-7.37,-5.93
38.92,12.9,11.32,69.53,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-100.60000000000001,61.3,-3.209999999999999
2906.01,3.52,1.89,179.22,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,2277.0200000000004,144.7,-3.5900000000000007
180.42,9.64,6.87,15.59,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-448.57000000000005,-18.930000000000003,1.3899999999999997
324.0,79.18,1.7,7.03,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-304.99,-27.490000000000002,-3.7800000000000002
960.75,190.84,4.13,96.91,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,331.76,62.38999999999999,-1.3500000000000005
72.71,38.4,4.37,7.44,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-66.81000000000002,-0.79,-10.16
528.9,18.65,3.31,6.04,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-100.09000000000003,-28.480000000000004,-2.1700000000000004
190.52,2.57,0.56,1.58,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,51.0,-6.65,-13.969999999999999
160.08,14.21,10.22,3.81,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,20.560000000000002,-4.42,-4.309999999999999
93.62,3.74,29.41,4.62,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-45.900000000000006,-3.6100000000000003,14.88
959.51,4.4,44.54,12.12,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,330.52,-22.400000000000006,39.06
104.25,44.61,5.12,2.89,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-35.27000000000001,-5.34,-9.41
115.95,156.23,7.9,49.63,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-513.04,15.11,2.42
24.05,59.63,0.31,142.03,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-604.94,107.50999999999999,-5.170000000000001
96.06,51.94,2.65,13.07,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-43.46000000000001,4.84,-11.879999999999999
13.62,92.02,0.89,44.92,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-125.9,36.69,-13.639999999999999
